cost_id;fueling_id;cost_type;date;fuel_id;gas_station_id;odometer;trip_odometer;quantity;cost;notes;fueling_type;tires;driving_style;route_motorway;route_country;route_city;bc_consumption;bc_avg_speed;ac;currency;fuel_name;gas_station_name
;2129500;;2016-05-03;10;40;94776;929.2;54.05;324.60;"1,299€ / 70,21€";full;snow;normal;0.50;0.20;0.30;5.90;75.00;90;PLN;Diesel;OMV
;2129497;;2016-04-30;12;2;93847;378.4;23.53;95.06;;full;snow;normal;0.25;0.25;0.50;6.00;41.00;50;PLN;"Orlen Verva ON";Orlen
;2129495;;2016-04-21;12;2;93469;1040.4;57.94;235.24;;full;snow;normal;0.20;0.50;0.30;5.50;54.00;20;PLN;"Orlen Verva ON";Orlen
;2082416;;2016-03-05;12;2;92428;1304.1;60.60;239.37;;full;snow;normal;0.15;0.65;0.20;4.50;63.00;20;PLN;"Orlen Verva ON";Orlen
;2073274;;2016-02-25;12;2;91124;468.6;26.80;105.59;;full;snow;normal;0.10;0.30;0.60;5.60;39.00;10;PLN;"Orlen Verva ON";Orlen
;2073272;;2016-02-06;12;2;90655;811.7;42.09;166.68;;full;snow;normal;0.30;0.30;0.40;5.10;52.00;10;PLN;"Orlen Verva ON";Orlen
;2050068;;2016-01-22;12;2;89843;781.3;54.12;223.52;;full;snow;normal;0.60;0.10;0.30;6.90;64.00;10;PLN;"Orlen Verva ON";Orlen
;2037304;;2016-01-09;12;2;89062;455.3;30.71;132.67;;full;snow;normal;0.40;0.30;0.30;6.30;61.00;10;PLN;"Orlen Verva ON";Orlen
;2031033;;2016-01-02;12;2;88607;1003.7;48.80;207.40;;full;snow;normal;0.10;0.65;0.25;4.90;51.00;10;PLN;"Orlen Verva ON";Orlen
;2031032;;2015-12-26;12;2;87603;593.3;32.06;133.37;;full;snow;normal;0.50;0.40;0.10;5.00;74.00;10;PLN;"Orlen Verva ON";Orlen
;2020341;;2015-12-22;12;2;87009;610.5;39.13;175.30;;full;snow;normal;0.70;0.10;0.20;6.30;79.00;10;PLN;"Orlen Verva ON";Orlen
;2020339;;2015-12-19;12;2;86399;360.6;17.68;79.38;;full;snow;normal;0.30;0.40;0.30;4.90;51.00;10;PLN;"Orlen Verva ON";Orlen
;2011750;;2015-12-12;12;2;86038;678.2;41.02;185.82;;full;snow;normal;0.20;0.20;0.60;6.10;33.00;10;PLN;"Orlen Verva ON";Orlen
;1983951;;2015-10-31;12;2;85360;743.3;46.91;207.81;;full;summer;normal;0.60;0.10;0.30;6.20;56.00;20;PLN;"Orlen Verva ON";Orlen
;1983949;;2015-10-11;12;2;84616;913.3;44.82;203.48;;full;summer;normal;0.30;0.40;0.30;4.80;52.00;100;PLN;"Orlen Verva ON";Orlen
;1983948;;2015-09-12;12;2;83703;979.1;58.99;258.97;;full;summer;normal;0.80;0.10;0.10;5.80;80.00;100;PLN;"Orlen Verva ON";Orlen
;1924647;;2015-08-29;12;2;82724;879.6;50.22;230.51;;full;summer;normal;0.10;0.40;0.50;5.70;48.00;100;PLN;"Orlen Verva ON";Orlen
;1924646;;2015-08-04;12;2;81845;1048.7;54.80;289.89;;full;summer;normal;0.85;0.10;0.05;5.10;102.00;100;PLN;"Orlen Verva ON";Orlen
;1924643;;2015-08-04;1002;44;80796;824.7;47.51;244.59;"Total Excellium Diesel 1,174 € / 55,78 €";full;summer;normal;0.50;0.30;0.20;5.70;76.00;100;PLN;"inny olej napędowy";Total
;1924640;;2015-08-03;1002;44;79971;552.8;32.64;179.32;"Total Excellium Diesel 1,262 € / 41,19 €";full;summer;normal;0.25;0.25;0.50;5.80;43.00;100;PLN;"inny olej napędowy";Total
;1924638;;2015-08-02;1002;44;79418;730.2;42.45;230.78;"Total Excellium Diesel 1,249 € / 53,02 €";full;summer;normal;0.15;0.25;0.60;5.60;44.00;100;PLN;"inny olej napędowy";Total
;1924287;;2015-07-28;1002;44;78688;888.5;49.08;259.69;"Total Excellium 1,222 € / 59,98 €";full;summer;normal;0.75;0.20;0.05;5.50;75.00;100;PLN;"inny olej napędowy";Total
